id,location,latitude,longitude,area_sqm,bedrooms,bathrooms,toilets,stories,house_type,furnishing,condition,parking_spaces,distance_to_city_center_km,proximity_to_main_road_km,security_rating,infrastructure_quality,electricity_stability,water_supply,neighborhood_prestige,desirability_score,price_naira,is_outlier,outlier_reason
479,Iyaganku GRA,7.394972,3.868816,578,5,5,5,1,Detached House,Furnished,Old,2,4.6,2.83,8.4,9.8,6.5,7.2,4,4.6,216600000,False,
480,Akobo,7.389632,3.921546,138,1,2,3,1,Flat,Unfurnished,Old,1,10.9,1.33,8.1,7.2,3.0,7.1,3,3.5,9200000,False,
481,Challenge,7.316879,3.878622,145,1,1,2,1,Flat,Semi-Furnished,Old,1,15.0,1.29,7.5,7.2,5.0,6.7,3,3.8,5100000,False,
482,Akobo,7.399622,3.928617,224,3,2,4,1,Terraced House,Unfurnished,Old,1,11.0,1.21,7.0,8.4,9.0,6.8,3,3.5,11800000,False,
483,Iyaganku GRA,7.391919,3.866444,244,2,1,1,1,Bungalow,Unfurnished,New,3,2.4,0.82,7.7,10.0,8.8,7.8,4,4.6,80100000,False,
484,Jericho,7.399752,3.87114,479,4,4,5,2,Duplex,Semi-Furnished,Renovated,3,5.4,2.84,6.7,9.1,9.0,8.8,4,4.8,135400000,False,
485,Akobo,7.392203,3.920311,243,3,4,5,1,Bungalow,Unfurnished,Renovated,1,12.7,0.75,6.2,8.1,3.7,6.9,3,3.5,17500000,False,
486,Oluyole Estate,7.347575,3.848033,274,3,3,4,1,Terraced House,Semi-Furnished,Renovated,1,9.0,1.81,7.6,8.8,5.9,8.4,4,4.2,35100000,False,
487,Bodija,7.446291,3.92409,370,4,3,4,1,Bungalow,Furnished,New,2,4.4,1.31,9.9,10.0,9.0,10.0,5,5.0,151400000,False,
488,Iyaganku GRA,7.387924,3.856212,576,5,4,4,1,Detached House,Semi-Furnished,New,3,3.7,2.98,7.3,10.0,7.6,9.4,4,4.6,341500000,False,
489,Alalubosa,7.379047,3.850202,205,2,3,3,1,Bungalow,Unfurnished,Renovated,2,3.9,1.33,8.6,8.1,6.9,7.2,4,4.3,41000000,False,
490,Jericho,7.396026,3.869744,283,3,2,3,1,Bungalow,Unfurnished,New,2,2.8,1.63,10.0,7.2,8.9,6.8,4,4.8,108500000,False,
491,Akobo,7.392883,3.912784,273,3,2,2,1,Bungalow,Unfurnished,Renovated,2,9.9,2.28,6.7,6.8,6.4,7.5,3,3.5,18400000,False,
492,Jericho,7.41125,3.88162,476,5,5,5,2,Duplex,Semi-Furnished,New,3,8.3,1.34,8.8,10.0,7.1,7.6,4,4.8,169600000,False,
493,Challenge,7.337882,3.876725,346,3,2,2,1,Bungalow,Unfurnished,Old,1,9.8,0.49,5.9,6.1,5.8,7.3,3,3.8,12100000,False,
494,Bodija,7.427399,3.925888,348,5,5,7,2,Detached House,Furnished,Old,3,7.9,1.68,10.0,10.0,7.4,10.0,5,5.0,119600000,False,
495,Bodija,7.443436,3.927041,498,5,4,5,1,Detached House,Furnished,New,3,9.8,2.58,10.0,10.0,5.4,10.0,5,5.0,160700000,False,
496,Bodija,7.428937,3.913649,389,4,4,4,1,Bungalow,Unfurnished,Renovated,4,7.0,1.83,8.7,10.0,9.0,10.0,5,5.0,113900000,False,
497,Oluyole Estate,7.374935,3.85523,336,4,4,4,2,Duplex,Semi-Furnished,New,3,11.3,0.36,8.0,10.0,8.2,9.1,4,4.2,74000000,False,
498,Jericho,7.395672,3.87641,436,4,5,5,2,Duplex,Semi-Furnished,New,2,7.1,2.08,10.0,7.2,8.2,10.0,4,4.8,169800000,False,
499,Samonda,7.434557,3.90239,57,1,1,2,1,Mini Flat,Unfurnished,Renovated,0,7.5,0.37,5.6,7.3,4.4,5.6,3,3.2,3700000,False,
500,Bodija,7.434783,3.914677,304,4,3,4,1,Detached House,Semi-Furnished,Renovated,3,8.8,1.62,10.0,10.0,8.5,9.5,5,5.0,70400000,False,
501,Samonda,7.426769,3.905163,88,2,2,3,1,Mini Flat,Semi-Furnished,Renovated,0,8.0,0.7,6.4,6.1,4.7,5.7,3,3.2,7900000,False,
502,Bodija,7.438224,3.908037,340,4,5,5,2,Duplex,Semi-Furnished,Old,2,10.6,2.58,10.0,10.0,9.0,8.0,5,5.0,101000000,False,
503,Alalubosa,7.392502,3.860015,268,3,2,2,1,Terraced House,Semi-Furnished,Renovated,2,2.0,1.91,7.4,7.6,5.4,8.9,4,4.3,36400000,False,
504,Akobo,7.392463,3.919859,343,4,5,6,1,Bungalow,Unfurnished,Old,2,10.8,1.18,6.3,6.1,4.4,7.4,3,3.5,16600000,False,
505,Samonda,7.4241,3.911173,200,2,2,3,1,Bungalow,Unfurnished,Renovated,1,9.4,0.91,6.0,6.2,3.4,4.8,3,3.2,10900000,False,
506,Challenge,7.336102,3.860105,267,3,4,4,1,Bungalow,Unfurnished,Renovated,1,15.4,1.16,5.9,6.0,6.6,6.7,3,3.8,12400000,False,
507,Akobo,7.384565,3.91983,121,1,1,2,1,Flat,Unfurnished,Old,0,9.0,1.95,8.3,7.0,6.3,8.3,3,3.5,6900000,False,
508,Iyaganku GRA,7.394873,3.867601,356,4,4,4,2,Detached House,Furnished,New,2,5.5,0.86,9.8,9.9,9.0,9.3,4,4.6,225000000,False,
509,Challenge,7.333729,3.889804,364,4,5,5,1,Bungalow,Semi-Furnished,Renovated,0,11.4,1.41,7.0,6.0,3.0,8.2,3,3.8,13500000,False,
510,Oluyole Estate,7.364593,3.857368,289,3,4,4,2,Duplex,Unfurnished,Renovated,2,10.2,1.35,10.0,6.7,4.4,9.1,4,4.2,40300000,False,
511,Iyaganku GRA,7.393399,3.875991,591,5,5,6,3,Detached House,Unfurnished,Renovated,3,3.1,1.47,8.1,8.4,8.8,8.8,4,4.6,245900000,False,
512,Iyaganku GRA,7.397394,3.879031,219,2,3,4,1,Bungalow,Semi-Furnished,New,3,3.0,2.37,10.0,10.0,6.9,7.9,4,4.6,109600000,False,
513,Bodija,7.43592,3.913775,306,4,5,5,2,Detached House,Semi-Furnished,Renovated,3,10.0,2.11,9.5,9.7,9.0,8.9,5,5.0,105900000,False,
514,Akobo,7.394014,3.933132,289,2,2,2,1,Bungalow,Unfurnished,Old,1,13.6,2.37,7.3,6.5,6.9,6.3,3,3.5,12800000,False,
515,Challenge,7.331412,3.887336,311,4,4,6,1,Bungalow,Unfurnished,New,2,14.1,1.95,5.5,5.5,7.9,7.2,3,3.8,15600000,False,
516,Samonda,7.437344,3.915274,226,3,3,4,2,Terraced House,Unfurnished,New,1,11.0,2.41,5.6,4.0,6.4,5.2,3,3.2,21200000,False,
517,Alalubosa,7.398699,3.848801,266,3,4,4,2,Duplex,Semi-Furnished,Renovated,2,8.3,1.39,4.0,7.9,8.8,8.1,4,4.3,66300000,False,
518,Iyaganku GRA,7.398926,3.86995,568,6,5,7,3,Detached House,Semi-Furnished,New,3,4.3,2.71,10.0,8.2,9.0,6.3,4,4.6,268000000,False,
519,Akobo,7.393735,3.919794,329,3,2,2,1,Bungalow,Semi-Furnished,Renovated,2,7.3,0.47,6.2,6.8,7.9,7.3,3,3.5,28600000,False,
520,Alalubosa,7.388482,3.850383,274,4,5,5,2,Terraced House,Unfurnished,Renovated,1,8.2,2.08,6.6,8.3,9.0,9.6,4,4.3,56600000,False,
521,Samonda,7.424705,3.92076,246,2,3,5,1,Bungalow,Unfurnished,Old,1,10.7,2.76,5.5,7.3,7.2,5.6,3,3.2,17700000,False,
522,Jericho,7.406364,3.880004,463,5,5,5,2,Duplex,Furnished,Renovated,3,8.6,0.75,10.0,7.4,9.0,9.3,4,4.8,143800000,False,
523,Samonda,7.429911,3.904811,392,4,4,5,1,Bungalow,Unfurnished,Old,0,8.2,2.52,6.7,4.0,5.3,6.1,3,3.2,19800000,False,
524,Bodija,7.440977,3.914793,304,3,3,4,2,Duplex,Semi-Furnished,New,3,6.3,0.53,10.0,8.4,9.0,10.0,5,5.0,103100000,False,
525,Bodija,7.442863,3.919899,254,3,2,2,2,Duplex,Semi-Furnished,New,4,6.8,2.36,7.6,8.3,7.8,10.0,5,5.0,92000000,False,
526,Bodija,7.420745,3.916935,440,4,4,5,2,Duplex,Semi-Furnished,New,3,7.9,2.86,10.0,9.8,9.0,9.2,5,5.0,145300000,False,
527,Jericho,7.386774,3.874752,462,4,4,4,3,Detached House,Unfurnished,Renovated,3,4.2,0.78,9.8,10.0,6.9,7.7,4,4.8,136800000,False,
528,Jericho,7.400923,3.883954,373,4,3,3,1,Bungalow,Unfurnished,Renovated,3,8.9,2.85,8.3,10.0,5.4,7.1,4,4.8,106800000,False,
529,Alalubosa,7.381233,3.864394,452,4,3,3,2,Duplex,Furnished,Renovated,3,2.5,1.35,10.0,6.7,8.4,8.9,4,4.3,81100000,False,
530,Oluyole Estate,7.367189,3.851118,137,2,2,3,2,Terraced House,Furnished,New,3,8.5,1.22,9.5,6.8,9.0,7.8,4,4.2,31800000,False,
531,Alalubosa,7.385476,3.8602,279,3,4,5,1,Terraced House,Furnished,Renovated,2,2.0,0.76,8.6,7.1,6.9,10.0,4,4.3,57500000,False,
532,Challenge,7.332785,3.872971,54,1,1,1,1,Mini Flat,Unfurnished,Old,1,12.4,1.96,7.8,8.0,9.0,5.8,3,3.8,2400000,False,
533,Agodi GRA,7.410561,3.901093,385,4,4,5,1,Detached House,Unfurnished,New,4,5.8,0.31,9.7,9.1,9.0,9.4,4,4.7,188200000,False,
534,Bodija,7.432901,3.912583,540,5,4,5,1,Detached House,Furnished,Renovated,2,10.9,1.71,10.0,9.5,7.8,9.8,5,5.0,199000000,False,
535,Alalubosa,7.385936,3.868317,385,4,5,5,2,Duplex,Semi-Furnished,New,2,4.5,2.75,9.7,8.4,8.2,7.4,4,4.3,81800000,False,
536,Apete,7.444513,3.877432,51,1,2,2,1,Mini Flat,Unfurnished,Old,1,17.6,1.07,4.7,4.2,5.0,5.0,2,2.8,2400000,False,
537,Akobo,7.405974,3.911188,148,1,1,3,1,Flat,Unfurnished,Renovated,1,10.9,0.26,9.1,6.7,6.8,5.3,3,3.5,7400000,False,
538,Alalubosa,7.379864,3.852506,214,2,2,3,2,Terraced House,Semi-Furnished,Renovated,1,4.4,2.38,8.7,9.1,7.3,6.8,4,4.3,32500000,False,
539,Jericho,7.409983,3.887909,558,4,3,3,2,Detached House,Furnished,Renovated,2,8.2,2.77,8.5,9.2,9.0,10.0,4,4.8,185500000,False,
540,Apete,7.444359,3.870486,255,3,4,6,2,Terraced House,Semi-Furnished,Old,2,18.9,0.72,7.3,4.9,3.9,4.0,2,2.8,13000000,False,
541,Iyaganku GRA,7.392209,3.868457,446,5,4,5,2,Detached House,Semi-Furnished,Old,2,7.0,1.63,7.1,9.3,6.9,8.0,4,4.6,170200000,False,
542,Oluyole Estate,7.361013,3.86168,342,4,5,5,2,Duplex,Unfurnished,New,1,4.3,1.03,9.4,7.9,9.0,8.7,4,4.2,41700000,False,
543,Alalubosa,7.383464,3.863883,465,5,5,6,2,Detached House,Semi-Furnished,New,2,7.9,0.97,9.1,8.3,7.7,8.1,4,4.3,110900000,False,
544,Oluyole Estate,7.36895,3.846499,362,3,2,2,2,Duplex,Semi-Furnished,Old,1,10.8,0.69,8.4,8.5,4.7,7.1,4,4.2,48100000,False,
545,Akobo,7.390261,3.933483,108,2,2,4,1,Mini Flat,Unfurnished,Renovated,1,12.2,0.91,6.1,6.0,7.8,6.1,3,3.5,8900000,False,
546,Alalubosa,7.374022,3.858173,377,5,4,4,1,Bungalow,Semi-Furnished,Renovated,2,2.0,0.65,8.0,8.1,4.6,7.3,4,4.3,69900000,False,
547,Bodija,7.43515,3.912335,495,6,5,5,2,Detached House,Unfurnished,Renovated,3,6.5,1.7,8.9,10.0,8.9,9.3,5,5.0,159800000,False,
548,Samonda,7.42035,3.918552,358,4,5,5,1,Bungalow,Unfurnished,Old,1,6.6,1.25,5.4,4.2,5.8,5.7,3,3.2,25400000,False,
549,Challenge,7.352109,3.881284,263,2,1,1,1,Bungalow,Unfurnished,Renovated,1,10.8,1.69,7.3,8.0,4.0,5.6,3,3.8,10100000,False,
550,Challenge,7.348912,3.879512,177,2,2,4,1,Flat,Unfurnished,Renovated,1,11.1,0.59,8.8,5.8,7.4,6.9,3,3.8,6100000,False,
551,Bodija,7.435167,3.908749,520,5,4,4,2,Detached House,Unfurnished,New,2,9.9,2.8,10.0,8.7,9.0,10.0,5,5.0,132600000,False,
552,Agodi GRA,7.403107,3.90835,324,4,4,4,1,Detached House,Unfurnished,New,4,5.3,1.92,10.0,9.9,9.0,9.3,4,4.7,157300000,False,
553,Iyaganku GRA,7.383663,3.858823,263,3,2,4,1,Bungalow,Furnished,Renovated,3,4.0,1.34,8.4,9.0,9.0,8.7,4,4.6,155800000,False,
554,Oluyole Estate,7.364362,3.850489,441,4,3,3,2,Duplex,Unfurnished,Renovated,3,10.4,0.82,10.0,10.0,7.7,8.8,4,4.2,54600000,False,
555,Agodi GRA,7.420595,3.906127,435,4,5,6,2,Duplex,Unfurnished,New,3,5.0,2.75,8.4,10.0,8.6,9.9,4,4.7,232800000,False,
556,Oluyole Estate,7.357852,3.852977,253,3,2,2,1,Bungalow,Unfurnished,Renovated,1,9.3,1.46,6.0,8.1,9.0,7.8,4,4.2,24000000,False,
557,Samonda,7.430457,3.913733,226,2,1,2,1,Bungalow,Unfurnished,Renovated,2,8.1,1.32,7.4,6.2,4.9,5.5,3,3.2,13300000,False,
558,Challenge,7.342891,3.87942,238,3,2,2,2,Terraced House,Furnished,New,1,9.9,2.44,4.0,8.6,3.9,5.9,3,3.8,21900000,False,
559,Agodi GRA,7.421457,3.892892,314,4,4,5,1,Detached House,Semi-Furnished,New,3,8.8,2.02,7.3,7.1,7.1,8.3,4,4.7,157500000,False,
560,Samonda,7.420996,3.916177,192,2,3,4,1,Flat,Unfurnished,Old,2,11.3,1.36,4.0,4.9,5.4,5.8,3,3.2,10300000,False,
561,Jericho,7.405109,3.874939,273,2,3,3,1,Bungalow,Unfurnished,New,4,6.6,2.47,6.9,7.9,8.8,10.0,4,4.8,86900000,False,
562,Apete,7.446431,3.878926,273,3,4,5,1,Bungalow,Unfurnished,Old,1,13.9,2.6,5.9,4.0,3.5,4.0,2,2.8,10800000,False,
563,Alalubosa,7.390621,3.864605,388,4,3,5,2,Duplex,Furnished,Renovated,2,5.0,0.49,9.6,7.5,9.0,8.4,4,4.3,80300000,False,
564,Bodija,7.452214,3.914546,381,4,4,5,2,Duplex,Semi-Furnished,New,3,8.3,0.42,8.8,9.1,9.0,10.0,5,5.0,153700000,False,
565,Bodija,7.443912,3.903494,312,4,5,7,3,Detached House,Semi-Furnished,Old,3,7.4,0.39,9.0,9.3,9.0,9.5,5,5.0,95300000,False,
566,Oluyole Estate,7.367122,3.851127,167,2,1,1,1,Bungalow,Unfurnished,Renovated,2,8.1,0.61,7.3,6.3,9.0,7.2,4,4.2,12600000,False,
567,Challenge,7.335764,3.87389,185,1,2,3,1,Flat,Semi-Furnished,New,1,10.5,2.96,9.5,8.1,6.6,7.7,3,3.8,10000000,False,
568,Bodija,7.432906,3.912384,252,2,3,5,1,Bungalow,Semi-Furnished,Renovated,3,6.2,2.86,10.0,9.6,9.0,9.1,5,5.0,78100000,False,
569,Alalubosa,7.371783,3.860189,311,3,2,2,1,Bungalow,Unfurnished,Renovated,2,2.9,0.7,10.0,8.8,6.4,10.0,4,4.3,49500000,False,
570,Agodi GRA,7.40809,3.903773,519,5,5,6,1,Detached House,Semi-Furnished,New,3,10.3,2.53,8.2,7.0,9.0,8.3,4,4.7,236100000,False,
571,Oluyole Estate,7.360211,3.863488,399,5,4,5,1,Bungalow,Furnished,Old,1,8.6,2.81,8.7,7.1,6.5,7.2,4,4.2,46900000,False,
572,Oluyole Estate,7.363929,3.853383,296,2,1,2,1,Bungalow,Furnished,Renovated,2,8.3,0.24,7.9,10.0,5.7,8.6,4,4.2,38400000,False,
573,Oluyole Estate,7.362752,3.847367,295,3,2,3,2,Duplex,Furnished,Renovated,3,7.0,2.95,5.9,9.0,6.5,8.2,4,4.2,46900000,False,
574,Akobo,7.39005,3.917796,265,3,2,3,2,Terraced House,Unfurnished,Renovated,0,14.3,0.73,8.2,6.3,3.6,5.9,3,3.5,23000000,False,
575,Jericho,7.401285,3.866245,502,5,4,5,3,Detached House,Semi-Furnished,Renovated,4,7.9,2.82,7.3,9.4,9.0,9.0,4,4.8,172700000,False,
576,Oluyole Estate,7.370426,3.860496,322,3,3,4,1,Bungalow,Unfurnished,Old,2,7.7,0.72,9.3,7.7,6.3,8.9,4,4.2,21600000,False,
577,Jericho,7.406505,3.889939,392,4,4,5,2,Duplex,Semi-Furnished,Renovated,4,8.6,0.28,10.0,8.8,6.3,7.5,4,4.8,134900000,False,
578,Oluyole Estate,7.370755,3.857032,197,3,2,3,1,Terraced House,Semi-Furnished,Renovated,2,8.7,2.51,5.5,8.1,7.9,8.2,4,4.2,28000000,False,
579,Challenge,7.336656,3.872182,295,4,4,5,1,Terraced House,Unfurnished,Old,1,10.5,2.51,7.5,6.7,6.8,7.5,3,3.8,17700000,False,
580,Apete,7.441696,3.857947,111,1,2,3,1,Mini Flat,Unfurnished,Old,2,17.1,0.81,4.0,4.0,3.0,4.8,2,2.8,4100000,False,
581,Akobo,7.395115,3.919781,182,2,1,2,1,Flat,Furnished,Old,2,9.7,1.73,8.8,5.6,4.0,6.5,3,3.5,15900000,False,
582,Challenge,7.334571,3.867333,206,2,2,3,1,Terraced House,Unfurnished,New,1,11.1,0.84,5.9,7.2,6.3,6.4,3,3.8,10400000,False,
583,Akobo,7.408297,3.914214,124,3,2,2,2,Terraced House,Semi-Furnished,Renovated,1,10.5,0.5,6.0,5.7,5.0,7.8,3,3.5,14200000,False,
584,Iyaganku GRA,7.392623,3.8628,459,5,5,5,1,Detached House,Semi-Furnished,New,4,2.0,2.62,10.0,7.0,9.0,7.2,4,4.6,226400000,False,
585,Alalubosa,7.393635,3.865958,166,2,3,3,1,Terraced House,Unfurnished,Renovated,1,2.0,1.78,6.0,9.5,6.1,8.3,4,4.3,34300000,False,
586,Jericho,7.415619,3.890317,470,4,4,5,2,Duplex,Unfurnished,Renovated,3,7.4,1.98,10.0,7.7,6.3,8.7,4,4.8,128200000,False,
587,Oluyole Estate,7.374209,3.858536,175,3,2,2,1,Bungalow,Furnished,New,2,7.3,0.52,7.3,8.9,7.0,8.1,4,4.2,32600000,False,
588,Samonda,7.42725,3.909971,324,4,5,7,1,Bungalow,Unfurnished,New,1,11.1,0.58,5.8,4.9,3.4,6.1,3,3.2,27300000,False,
589,Iyaganku GRA,7.391459,3.874011,346,4,5,5,2,Detached House,Semi-Furnished,Renovated,3,2.7,2.15,10.0,9.1,7.9,7.4,4,4.6,176600000,False,
590,Iyaganku GRA,7.381943,3.858937,498,4,5,5,1,Detached House,Furnished,Renovated,3,6.1,0.14,9.5,7.6,9.0,8.2,4,4.6,210400000,False,
591,Challenge,7.344956,3.876222,284,2,2,2,1,Bungalow,Unfurnished,Old,1,7.6,0.37,7.4,6.2,3.8,6.6,3,3.8,7100000,False,
592,Bodija,7.442117,3.903664,575,5,5,7,2,Detached House,Furnished,Renovated,3,8.9,0.64,7.3,7.6,7.8,9.6,5,5.0,188600000,False,
593,Challenge,7.338891,3.876388,225,3,3,3,1,Terraced House,Furnished,Old,0,12.0,2.51,6.3,5.5,9.0,8.0,3,3.8,11400000,False,
594,Akobo,7.387859,3.908814,89,1,2,3,1,Flat,Semi-Furnished,Renovated,0,9.3,2.72,7.7,7.7,7.8,6.8,3,3.5,5900000,False,
595,Samonda,7.426235,3.908735,303,3,3,4,1,Bungalow,Unfurnished,Renovated,2,13.0,1.51,6.0,6.1,5.4,6.1,3,3.2,18000000,False,
596,Agodi GRA,7.407275,3.899385,301,3,3,3,2,Duplex,Semi-Furnished,Renovated,3,5.4,2.77,9.7,9.5,6.9,10.0,4,4.7,142700000,False,
597,Akobo,7.39212,3.921781,278,3,4,4,1,Bungalow,Semi-Furnished,Old,1,12.5,2.49,8.4,6.1,9.0,6.2,3,3.5,23800000,False,
598,Challenge,7.340941,3.87328,190,2,1,1,2,Terraced House,Unfurnished,Renovated,1,12.0,0.9,6.6,4.5,6.9,4.6,3,3.8,5800000,False,
599,Alalubosa,7.369428,3.867259,368,4,5,7,1,Bungalow,Unfurnished,Old,1,2.2,1.88,8.7,7.6,8.1,8.7,4,4.3,62300000,False,
600,Alalubosa,7.389287,3.845508,274,3,3,3,1,Terraced House,Unfurnished,New,1,3.9,0.94,5.1,8.6,6.4,8.4,4,4.3,54200000,False,
601,Alalubosa,7.381557,3.86136,183,3,4,6,2,Terraced House,Semi-Furnished,New,3,2.0,1.17,10.0,7.5,9.0,7.7,4,4.3,46200000,False,
602,Bodija,7.43128,3.911757,345,4,5,5,1,Detached House,Semi-Furnished,Renovated,3,5.8,0.16,10.0,9.4,9.0,10.0,5,5.0,128400000,False,
603,Bodija,7.443157,3.91017,210,2,3,3,1,Bungalow,Furnished,Renovated,2,4.0,1.35,10.0,10.0,8.6,9.9,5,5.0,79000000,False,
604,Oluyole Estate,7.360537,3.858257,416,4,4,4,2,Duplex,Unfurnished,New,3,8.5,2.48,5.5,8.5,5.5,10.0,4,4.2,40500000,False,
605,Akobo,7.412264,3.903795,302,3,4,5,1,Bungalow,Unfurnished,Renovated,2,12.9,0.5,5.5,4.5,6.7,6.1,3,3.5,19700000,False,
606,Oluyole Estate,7.373236,3.865379,380,4,3,3,1,Bungalow,Semi-Furnished,New,1,6.5,0.89,8.2,8.5,9.0,8.4,4,4.2,66800000,False,
607,Oluyole Estate,7.347599,3.859045,261,3,3,4,1,Bungalow,Unfurnished,Old,2,7.6,2.1,7.9,8.2,3.0,7.1,4,4.2,28600000,False,
608,Akobo,7.393245,3.916348,220,3,4,4,1,Terraced House,Semi-Furnished,New,1,12.2,0.27,8.0,5.6,7.5,8.1,3,3.5,24600000,False,
609,Iyaganku GRA,7.390117,3.86478,424,4,4,5,2,Duplex,Semi-Furnished,Old,4,2.8,1.78,10.0,8.7,9.0,9.8,4,4.6,199300000,False,
610,Samonda,7.43004,3.911177,103,1,2,3,1,Mini Flat,Unfurnished,Old,2,11.0,2.81,6.9,6.6,4.0,6.1,3,3.2,8400000,False,
611,Alalubosa,7.384497,3.865838,194,2,2,2,1,Bungalow,Unfurnished,Renovated,2,4.6,1.1,10.0,6.6,6.1,7.7,4,4.3,36000000,False,
612,Bodija,7.423716,3.915526,444,4,5,5,3,Detached House,Semi-Furnished,New,2,8.8,0.27,8.6,8.5,7.3,10.0,5,5.0,160600000,False,
613,Alalubosa,7.37832,3.859127,269,3,2,2,2,Duplex,Unfurnished,Renovated,2,2.0,2.62,5.8,6.5,5.3,7.9,4,4.3,42900000,False,
614,Akobo,7.406933,3.907,282,4,4,5,1,Terraced House,Semi-Furnished,Old,1,10.8,1.87,8.0,8.3,4.5,6.6,3,3.5,22300000,False,
615,Samonda,7.426963,3.913485,120,2,3,3,2,Terraced House,Furnished,Renovated,0,10.9,2.04,7.4,7.7,6.1,6.2,3,3.2,9900000,False,
616,Akobo,7.396089,3.907598,112,2,3,4,1,Flat,Furnished,Old,1,12.8,0.65,4.4,5.5,5.8,6.4,3,3.5,13300000,False,
617,Alalubosa,7.376318,3.855903,273,3,4,5,1,Bungalow,Unfurnished,Renovated,1,3.6,2.55,9.5,8.3,7.2,9.1,4,4.3,67700000,False,
618,Oluyole Estate,7.359747,3.856153,329,3,2,2,1,Bungalow,Semi-Furnished,New,1,9.9,1.3,8.3,8.9,8.0,6.2,4,4.2,66700000,False,
619,Bodija,7.446389,3.929208,485,5,5,5,2,Duplex,Semi-Furnished,Renovated,4,9.0,1.02,8.6,10.0,9.0,9.0,5,5.0,138500000,False,
620,Alalubosa,7.374705,3.868363,461,5,5,6,2,Duplex,Furnished,Renovated,1,4.2,0.34,7.2,7.0,3.2,7.7,4,4.3,100600000,False,
621,Samonda,7.432084,3.91737,119,1,2,2,1,Flat,Unfurnished,New,1,7.6,2.76,5.6,7.2,6.7,5.4,3,3.2,8700000,False,
622,Oluyole Estate,7.363433,3.85676,297,3,2,3,1,Bungalow,Furnished,New,2,7.0,0.73,7.8,9.4,7.4,9.2,4,4.2,53800000,False,
623,Bodija,7.439061,3.907293,517,4,4,5,3,Detached House,Semi-Furnished,Old,2,5.7,2.57,9.6,10.0,9.0,10.0,5,5.0,127200000,False,
624,Bodija,7.435299,3.915793,340,4,3,3,1,Bungalow,Semi-Furnished,New,3,9.8,0.85,9.8,10.0,8.2,10.0,5,5.0,125000000,False,
625,Apete,7.443235,3.868972,121,2,2,3,1,Flat,Unfurnished,Old,1,18.5,1.98,6.0,7.5,4.8,4.0,2,2.8,4900000,False,
626,Akobo,7.39081,3.908195,181,2,3,3,1,Bungalow,Furnished,Renovated,1,11.4,1.23,7.5,5.6,4.3,8.4,3,3.5,17300000,False,
627,Akobo,7.384201,3.914233,288,4,3,4,1,Bungalow,Semi-Furnished,Renovated,1,9.2,1.9,5.6,6.9,5.4,7.4,3,3.5,20300000,False,
628,Alalubosa,7.381354,3.862269,339,3,4,5,1,Bungalow,Unfurnished,New,3,5.4,2.95,8.7,7.9,7.5,10.0,4,4.3,65600000,False,
629,Jericho,7.406519,3.894006,292,3,3,4,2,Duplex,Furnished,Renovated,2,4.7,0.15,6.1,7.9,5.7,7.8,4,4.8,61700000,False,
630,Oluyole Estate,7.35799,3.851459,455,4,3,3,2,Duplex,Furnished,New,2,4.2,1.54,6.5,9.7,9.0,8.5,4,4.2,65500000,False,
631,Iyaganku GRA,7.392163,3.877715,269,3,2,2,2,Duplex,Furnished,Renovated,4,4.5,0.16,6.7,9.9,7.2,9.7,4,4.6,163500000,False,
632,Challenge,7.337749,3.877431,157,2,1,1,1,Terraced House,Unfurnished,Renovated,1,11.8,0.11,7.0,8.0,5.5,6.3,3,3.8,4800000,False,
633,Jericho,7.407116,3.894468,411,5,4,6,2,Detached House,Furnished,Renovated,4,3.9,1.73,8.3,7.9,8.5,9.6,4,4.8,189000000,False,
634,Oluyole Estate,7.362756,3.848451,241,2,2,2,2,Terraced House,Unfurnished,Renovated,1,7.7,0.41,10.0,7.6,5.5,8.3,4,4.2,25700000,False,
635,Iyaganku GRA,7.389949,3.864975,596,6,5,5,1,Detached House,Semi-Furnished,Renovated,2,4.9,0.66,10.0,8.0,8.6,7.7,4,4.6,233600000,False,
636,Bodija,7.439504,3.905663,478,5,5,5,2,Duplex,Semi-Furnished,New,3,10.2,0.56,10.0,9.4,9.0,9.5,5,5.0,168500000,False,
637,Challenge,7.339908,3.87896,308,3,3,4,1,Bungalow,Unfurnished,New,1,12.4,1.44,4.8,7.2,6.1,7.4,3,3.8,12900000,False,
638,Challenge,7.328008,3.879581,237,2,3,4,1,Bungalow,Semi-Furnished,Renovated,0,12.8,0.23,6.4,5.4,6.3,5.3,3,3.8,10000000,False,
639,Iyaganku GRA,7.39654,3.868093,384,4,5,5,2,Duplex,Unfurnished,Old,3,3.5,1.84,9.2,8.7,9.0,7.9,4,4.6,181500000,False,
640,Akobo,7.382325,3.918272,136,2,3,5,1,Terraced House,Unfurnished,Old,1,10.6,0.18,6.0,6.5,6.0,8.6,3,3.5,9800000,False,
641,Akobo,7.394495,3.919628,166,2,3,3,1,Bungalow,Unfurnished,Old,1,7.0,2.12,9.0,5.8,5.1,7.1,3,3.5,8800000,False,
642,Agodi GRA,7.407992,3.879829,521,6,5,5,1,Detached House,Semi-Furnished,New,3,6.2,1.44,7.4,6.9,9.0,9.2,4,4.7,202000000,False,
643,Bodija,7.424547,3.907401,499,3,2,3,2,Duplex,Unfurnished,Renovated,2,6.9,2.69,7.7,10.0,9.0,10.0,5,5.0,102900000,False,
