location,latitude,longitude,area_sqm,bedrooms,bathrooms,toilets,stories,house_type,furnishing,condition,parking_spaces,distance_to_city_center_km,proximity_to_main_road_km,security_rating,infrastructure_quality,electricity_stability,water_supply,neighborhood_prestige,desirability_score,price_naira
Jericho,7.405448,3.889028,583,5,4,4,3,Detached House,Unfurnished,Renovated,2,7.7,2.03,9.5,7.9,8.9,9.4,4,4.8,128600000
Akobo,7.384565,3.91983,121,1,1,2,1,Flat,Unfurnished,Old,0,9.0,1.95,8.3,7.0,6.3,8.3,3,3.5,6900000
Akobo,7.381888,3.905635,235,3,4,4,2,Terraced House,Semi-Furnished,New,0,12.8,0.62,7.3,7.8,6.0,7.3,3,3.5,30700000
Oluyole Estate,7.360551,3.848627,291,3,2,2,1,Bungalow,Semi-Furnished,New,2,7.0,0.37,6.6,7.3,7.2,7.8,4,4.2,33500000
Jericho,7.394147,3.886199,371,4,4,4,3,Detached House,Semi-Furnished,New,3,7.2,2.28,7.8,10.0,9.0,7.9,4,4.8,145400000
Bodija,7.42808,3.90659,342,4,5,6,1,Detached House,Furnished,New,2,8.8,2.68,10.0,10.0,5.5,10.0,5,5.0,146300000
Akobo,7.395807,3.905604,261,4,5,6,1,Terraced House,Unfurnished,Old,0,9.6,0.22,6.3,6.7,6.7,6.9,3,3.5,24200000
Apete,7.448611,3.881762,275,2,1,2,1,Bungalow,Unfurnished,Old,1,15.6,2.29,7.5,7.4,5.5,5.9,2,2.8,8000000
Samonda,7.410549,3.901777,116,2,2,2,1,Mini Flat,Unfurnished,Old,1,9.7,0.46,7.2,8.6,4.0,5.6,3,3.2,9400000
Oluyole Estate,7.371991,3.835426,204,2,3,4,1,Bungalow,Furnished,Renovated,1,9.9,0.27,7.5,8.9,9.0,9.6,4,4.2,26100000
Oluyole Estate,7.350524,3.86574,410,5,5,6,2,Duplex,Semi-Furnished,Old,2,5.5,0.23,9.4,8.2,9.0,9.1,4,4.2,35400000
Oluyole Estate,7.370726,3.867343,483,4,4,4,2,Duplex,Semi-Furnished,New,2,12.7,0.2,8.1,9.1,6.7,6.7,4,4.2,79700000
Oluyole Estate,7.362465,3.850659,295,3,2,2,1,Bungalow,Furnished,Renovated,1,5.4,2.05,7.7,7.9,6.0,7.3,4,4.2,29700000
Agodi GRA,7.384628,3.890944,354,5,4,5,1,Detached House,Unfurnished,New,3,5.4,2.71,10.0,10.0,8.2,10.0,4,4.7,180200000
Jericho,7.393249,3.88199,473,4,5,6,2,Duplex,Semi-Furnished,Renovated,3,6.4,0.29,7.7,10.0,5.9,8.4,4,4.8,121700000
Samonda,7.431193,3.89582,203,2,3,4,2,Terraced House,Semi-Furnished,Renovated,1,10.8,2.6,6.1,5.5,4.9,7.5,3,3.2,17700000
Alalubosa,7.376428,3.85884,443,6,5,5,2,Detached House,Furnished,Renovated,1,4.8,2.5,5.9,7.2,6.9,8.7,4,4.3,113400000
Akobo,7.398233,3.926255,192,2,1,2,1,Bungalow,Unfurnished,Renovated,1,7.5,0.83,8.9,8.4,7.4,7.1,3,3.5,13000000
Alalubosa,7.370731,3.845747,285,3,4,4,1,Bungalow,Unfurnished,Renovated,2,4.4,2.27,10.0,8.9,5.9,6.6,4,4.3,40900000
Bodija,7.447681,3.905081,370,4,5,6,1,Bungalow,Semi-Furnished,New,3,8.2,1.72,8.9,8.3,8.9,9.8,5,5.0,144300000
Iyaganku GRA,7.395917,3.852969,464,5,5,5,2,Detached House,Furnished,New,2,6.2,1.73,9.9,8.6,6.2,8.6,4,4.6,303500000
Bodija,7.434335,3.911793,373,3,3,4,1,Bungalow,Semi-Furnished,New,3,8.3,0.17,9.5,9.7,9.0,9.3,5,5.0,136500000
Akobo,7.385693,3.923358,196,2,2,4,2,Terraced House,Semi-Furnished,New,2,13.8,0.49,5.1,9.1,5.8,7.0,3,3.5,20600000
Challenge,7.338038,3.865567,53,1,1,1,1,Mini Flat,Unfurnished,New,1,10.3,2.37,10.0,5.7,5.6,5.8,3,3.8,3600000
Bodija,7.429474,3.899333,454,4,3,3,3,Detached House,Unfurnished,New,3,7.6,1.62,8.0,9.3,9.0,10.0,5,5.0,142200000
Agodi GRA,7.393005,3.903502,433,3,3,3,2,Duplex,Semi-Furnished,New,2,3.5,0.85,7.5,8.1,5.4,8.5,4,4.7,242200000
Oluyole Estate,7.370426,3.860496,322,3,3,4,1,Bungalow,Unfurnished,Old,2,7.7,0.72,9.3,7.7,6.3,8.9,4,4.2,21600000
Challenge,7.342891,3.87942,238,3,2,2,2,Terraced House,Furnished,New,1,9.9,2.44,4.0,8.6,3.9,5.9,3,3.8,21900000
Bodija,7.434489,3.915265,517,5,4,4,2,Detached House,Furnished,Renovated,4,8.8,0.13,9.5,10.0,9.0,10.0,5,5.0,205300000
Oluyole Estate,7.366251,3.855085,520,5,5,5,1,Detached House,Unfurnished,New,2,6.4,1.24,10.0,8.9,6.6,8.1,4,4.2,37600000
Jericho,7.405739,3.892577,296,3,4,5,2,Duplex,Semi-Furnished,Renovated,2,2.0,0.49,6.8,8.7,9.0,9.0,4,4.8,83500000
Iyaganku GRA,7.401838,3.868472,476,5,5,6,3,Detached House,Semi-Furnished,New,3,2.7,2.53,7.5,9.8,8.0,8.6,4,4.6,258300000
Challenge,7.332693,3.868112,255,2,1,2,1,Bungalow,Unfurnished,Old,0,13.4,1.63,4.0,7.1,5.3,6.0,3,3.8,7800000
Iyaganku GRA,7.395592,3.87175,515,5,5,5,2,Detached House,Furnished,Renovated,2,2.0,2.09,10.0,9.6,7.9,8.9,4,4.6,211900000
Agodi GRA,7.40281,3.89608,401,5,5,6,2,Duplex,Unfurnished,Renovated,4,4.9,2.53,7.1,7.7,9.0,7.6,4,4.7,189000000
Akobo,7.400566,3.911165,188,2,1,1,1,Terraced House,Semi-Furnished,Old,1,10.2,2.33,7.0,5.9,6.1,8.7,3,3.5,12700000
Alalubosa,7.369428,3.867259,368,4,5,7,1,Bungalow,Unfurnished,Old,1,2.2,1.88,8.7,7.6,8.1,8.7,4,4.3,62300000
Oluyole Estate,7.352148,3.851609,401,4,5,6,2,Duplex,Semi-Furnished,New,2,8.8,2.39,6.8,8.9,9.0,7.0,4,4.2,50700000
Samonda,7.437355,3.909695,196,3,2,2,2,Terraced House,Unfurnished,Old,1,9.1,2.67,6.3,5.8,5.6,7.4,3,3.2,16100000
Agodi GRA,7.413269,3.888027,579,6,5,5,1,Detached House,Furnished,Renovated,3,5.0,0.1,7.9,9.6,8.6,9.2,4,4.7,214900000
Agodi GRA,7.408103,3.903871,406,4,3,3,3,Detached House,Semi-Furnished,Renovated,3,7.7,0.57,7.0,10.0,9.0,8.5,4,4.7,230500000
Oluyole Estate,7.367581,3.855458,277,3,4,5,2,Duplex,Semi-Furnished,New,2,7.1,2.21,9.2,7.6,7.1,8.6,4,4.2,35100000
Challenge,7.339695,3.8804,262,3,4,5,1,Bungalow,Semi-Furnished,Old,1,11.3,0.43,8.7,8.1,7.9,7.5,3,3.8,12800000
Jericho,7.402053,3.891203,287,3,4,4,2,Duplex,Unfurnished,Renovated,2,3.4,1.64,8.5,9.6,4.6,8.6,4,4.8,89400000
Agodi GRA,7.407281,3.900967,437,4,4,5,2,Duplex,Semi-Furnished,Old,3,2.0,0.35,8.6,8.9,7.7,8.3,4,4.7,142100000
Bodija,7.431348,3.909602,401,4,4,5,3,Detached House,Unfurnished,Old,2,8.0,1.57,8.1,9.7,9.0,8.9,5,5.0,87700000
Agodi GRA,7.407856,3.904424,479,4,4,4,3,Detached House,Furnished,Old,2,6.0,0.61,7.7,8.9,9.0,10.0,4,4.7,202100000
Akobo,7.403477,3.912864,122,1,2,2,1,Flat,Unfurnished,Old,1,12.1,1.94,9.3,6.7,5.1,7.5,3,3.5,7600000
Samonda,7.43004,3.911177,103,1,2,3,1,Mini Flat,Unfurnished,Old,2,11.0,2.81,6.9,6.6,4.0,6.1,3,3.2,8400000
Alalubosa,7.381131,3.85636,393,5,5,6,1,Bungalow,Unfurnished,Renovated,1,2.9,2.85,7.0,5.6,7.3,7.9,4,4.3,47600000
Alalubosa,7.380247,3.857446,145,2,1,1,1,Terraced House,Furnished,New,1,6.5,0.1,8.9,8.4,9.0,7.1,4,4.3,34600000
Samonda,7.42825,3.907781,243,2,3,4,1,Bungalow,Unfurnished,Old,1,11.2,2.59,7.1,6.6,6.2,4.9,3,3.2,15400000
Agodi GRA,7.413174,3.88795,362,4,4,4,1,Bungalow,Semi-Furnished,Old,3,7.9,1.57,8.7,9.4,9.0,8.5,4,4.7,130200000
Bodija,7.427399,3.925888,348,5,5,7,2,Detached House,Furnished,Old,3,7.9,1.68,10.0,10.0,7.4,10.0,5,5.0,119600000
Iyaganku GRA,7.405507,3.876078,432,4,3,3,3,Detached House,Furnished,New,4,3.4,1.29,10.0,8.0,4.4,7.1,4,4.6,212500000
Jericho,7.398419,3.883699,514,6,5,5,2,Detached House,Semi-Furnished,Renovated,2,6.9,1.61,9.7,8.9,9.0,8.3,4,4.8,187600000
Iyaganku GRA,7.38749,3.854384,322,3,2,4,1,Bungalow,Unfurnished,New,3,4.8,2.33,9.0,10.0,9.0,8.3,4,4.6,159800000
Akobo,7.412078,3.914788,297,3,2,2,2,Terraced House,Unfurnished,Old,1,9.8,0.51,7.0,7.1,7.8,4.7,3,3.5,15900000
Iyaganku GRA,7.394357,3.874517,412,4,5,6,2,Duplex,Semi-Furnished,New,2,5.5,2.25,10.0,10.0,8.2,9.1,4,4.6,248900000
Alalubosa,7.375058,3.851289,485,3,3,4,2,Duplex,Unfurnished,Old,3,2.8,0.51,6.7,7.7,4.9,7.7,4,4.3,76600000
Agodi GRA,7.403107,3.90835,324,4,4,4,1,Detached House,Unfurnished,New,4,5.3,1.92,10.0,9.9,9.0,9.3,4,4.7,157300000
Bodija,7.438084,3.930406,540,4,3,3,1,Detached House,Unfurnished,New,4,5.2,0.56,7.4,9.5,9.0,9.2,5,5.0,128300000
Akobo,7.393508,3.927665,135,2,3,3,1,Flat,Unfurnished,Renovated,1,13.6,0.45,5.7,7.3,6.8,7.3,3,3.5,11800000
Oluyole Estate,7.357318,3.847763,377,4,3,5,1,Bungalow,Semi-Furnished,New,2,8.2,0.73,10.0,6.1,6.5,7.7,4,4.2,42300000
Agodi GRA,7.404085,3.900894,389,4,5,5,1,Detached House,Furnished,Renovated,3,6.4,0.32,10.0,10.0,7.9,7.8,4,4.7,202300000
Agodi GRA,7.397224,3.890239,348,4,3,4,2,Detached House,Semi-Furnished,Renovated,2,6.5,0.78,9.7,8.6,7.7,9.7,4,4.7,109500000
Oluyole Estate,7.369579,3.845861,194,2,3,4,1,Bungalow,Semi-Furnished,Renovated,2,5.6,1.34,6.7,7.9,3.3,8.7,4,4.2,32200000
Challenge,7.337749,3.877431,157,2,1,1,1,Terraced House,Unfurnished,Renovated,1,11.8,0.11,7.0,8.0,5.5,6.3,3,3.8,4800000
Akobo,7.400239,3.920144,150,2,3,4,2,Terraced House,Unfurnished,Old,0,8.7,1.72,4.6,6.1,3.0,6.5,3,3.5,9500000
Bodija,7.446088,3.909758,152,2,1,2,1,Bungalow,Unfurnished,New,2,10.5,1.89,10.0,10.0,9.0,9.5,5,5.0,55500000
Akobo,7.396089,3.922391,152,2,3,3,2,Terraced House,Unfurnished,New,1,10.8,1.47,6.3,8.0,9.0,6.2,3,3.5,11300000
Iyaganku GRA,7.395714,3.869016,201,2,2,3,1,Bungalow,Unfurnished,Renovated,4,4.9,0.33,7.6,8.9,8.1,8.9,4,4.6,90100000
Challenge,7.336102,3.860105,267,3,4,4,1,Bungalow,Unfurnished,Renovated,1,15.4,1.16,5.9,6.0,6.6,6.7,3,3.8,12400000
Bodija,7.443401,3.923381,338,4,5,5,1,Bungalow,Semi-Furnished,New,3,8.4,2.46,8.1,10.0,7.3,10.0,5,5.0,108500000
Agodi GRA,7.407168,3.897328,320,4,3,3,1,Detached House,Semi-Furnished,New,2,2.7,0.65,8.8,8.4,4.5,8.4,4,4.7,177000000
Samonda,7.432075,3.910217,291,3,3,4,1,Terraced House,Unfurnished,Renovated,1,8.4,1.54,7.0,7.2,4.4,5.2,3,3.2,19900000
Iyaganku GRA,7.391964,3.87043,326,3,4,5,1,Bungalow,Unfurnished,New,2,3.8,1.24,10.0,9.0,9.0,6.6,4,4.6,107000000
Oluyole Estate,7.349474,3.849101,334,3,3,4,1,Bungalow,Unfurnished,Renovated,2,6.7,1.22,8.8,7.4,5.4,8.1,4,4.2,34600000
Samonda,7.43751,3.892036,242,3,3,4,1,Terraced House,Unfurnished,New,1,10.6,1.94,4.8,6.4,8.0,6.9,3,3.2,21100000
Samonda,7.429841,3.905348,81,1,1,2,1,Mini Flat,Unfurnished,Old,1,6.1,1.93,4.8,6.7,3.3,6.6,3,3.2,8300000
Jericho,7.389623,3.885897,309,4,3,3,1,Detached House,Furnished,Renovated,3,6.1,2.74,10.0,8.7,8.6,7.3,4,4.8,94300000
Akobo,7.399725,3.913038,217,3,3,5,1,Terraced House,Unfurnished,New,0,7.2,0.76,6.3,6.8,6.0,7.6,3,3.5,21900000
Samonda,7.430177,3.907957,63,1,2,3,1,Mini Flat,Unfurnished,New,1,12.9,2.76,6.7,7.0,5.0,4.8,3,3.2,7500000
Samonda,7.429911,3.904811,392,4,4,5,1,Bungalow,Unfurnished,Old,0,8.2,2.52,6.7,4.0,5.3,6.1,3,3.2,19800000
Akobo,7.394014,3.933132,289,2,2,2,1,Bungalow,Unfurnished,Old,1,13.6,2.37,7.3,6.5,6.9,6.3,3,3.5,12800000
Alalubosa,7.388554,3.859199,194,3,4,4,1,Bungalow,Unfurnished,Renovated,2,2.2,2.52,7.2,9.0,8.6,9.2,4,4.3,38300000
Bodija,7.440697,3.924211,555,5,4,4,1,Detached House,Semi-Furnished,New,3,8.5,2.26,10.0,9.8,6.2,7.7,5,5.0,214200000
Bodija,7.443464,3.916202,487,4,4,4,2,Detached House,Unfurnished,New,3,8.7,1.08,10.0,8.3,9.0,10.0,5,5.0,121500000
Akobo,7.398535,3.924392,198,3,2,3,1,Bungalow,Unfurnished,Renovated,1,16.4,0.36,7.2,7.9,7.6,5.9,3,3.5,14700000
Samonda,7.435854,3.910938,381,5,5,6,1,Bungalow,Unfurnished,Old,1,9.1,2.01,9.0,4.0,3.5,4.1,3,3.2,24600000
Agodi GRA,7.401794,3.903782,295,3,4,4,2,Duplex,Semi-Furnished,New,3,4.2,2.34,9.9,10.0,5.1,10.0,4,4.7,159800000
Samonda,7.439592,3.909638,252,2,1,2,1,Terraced House,Semi-Furnished,Renovated,1,9.0,0.49,5.7,5.0,9.0,5.0,3,3.2,19600000
Agodi GRA,7.421352,3.904125,561,5,5,5,3,Detached House,Furnished,New,2,4.1,1.58,7.7,10.0,8.7,9.4,4,4.7,301900000
Bodija,7.435705,3.911319,497,4,3,3,2,Detached House,Furnished,Renovated,4,9.8,2.04,9.9,10.0,6.9,10.0,5,5.0,177600000
Alalubosa,7.372724,3.880835,226,2,2,3,2,Terraced House,Semi-Furnished,Renovated,2,2.0,2.43,7.3,6.4,4.8,8.4,4,4.3,32100000
Jericho,7.404062,3.911302,293,3,3,4,2,Duplex,Unfurnished,Renovated,4,5.9,2.01,8.9,8.1,7.7,10.0,4,4.8,94100000
Oluyole Estate,7.353293,3.86132,372,3,3,4,2,Duplex,Unfurnished,Renovated,3,8.9,1.55,7.3,8.3,7.5,8.3,4,4.2,41500000
Iyaganku GRA,7.395525,3.867467,244,3,4,4,1,Bungalow,Furnished,Renovated,2,3.3,2.55,8.2,7.1,7.9,8.4,4,4.6,134700000
Oluyole Estate,7.37565,3.849559,588,5,5,6,1,Detached House,Semi-Furnished,Renovated,1,6.5,0.89,6.5,8.4,6.0,9.6,4,4.2,68200000
Oluyole Estate,7.359749,3.852962,406,4,3,3,1,Detached House,Unfurnished,New,2,6.1,0.8,6.5,7.6,8.1,8.5,4,4.2,48000000
Akobo,7.392883,3.912784,273,3,2,2,1,Bungalow,Unfurnished,Renovated,2,9.9,2.28,6.7,6.8,6.4,7.5,3,3.5,18400000
Agodi GRA,7.408003,3.90026,548,6,5,5,3,Detached House,Semi-Furnished,Renovated,2,5.0,1.83,7.4,9.7,9.0,7.5,4,4.7,247500000
Samonda,7.434313,3.917421,293,4,4,6,1,Terraced House,Unfurnished,Old,2,9.3,1.37,4.0,5.4,5.0,5.3,3,3.2,23900000
Alalubosa,7.387888,3.871823,566,6,5,7,2,Detached House,Unfurnished,Old,1,2.0,2.51,6.3,7.1,6.3,7.9,4,4.3,92300000
Agodi GRA,7.401146,3.890288,363,3,3,4,2,Duplex,Unfurnished,Renovated,3,4.9,1.36,7.2,7.5,6.5,9.7,4,4.7,145700000
Challenge,7.332406,3.877771,251,2,3,3,2,Terraced House,Unfurnished,New,1,13.1,0.52,9.9,5.4,3.8,6.5,3,3.8,10400000
Oluyole Estate,7.367637,3.849396,316,4,5,6,1,Bungalow,Unfurnished,New,1,7.3,2.6,7.9,9.0,9.0,5.6,4,4.2,35800000
Akobo,7.394414,3.899163,187,2,3,4,1,Bungalow,Semi-Furnished,Renovated,1,9.6,1.06,7.1,7.1,5.0,7.6,3,3.5,16500000
Akobo,7.407618,3.930765,199,2,2,2,1,Terraced House,Unfurnished,Old,0,12.1,0.22,8.7,7.0,8.3,4.3,3,3.5,10000000
Bodija,7.422108,3.905833,378,3,3,3,2,Duplex,Semi-Furnished,New,3,8.8,1.36,9.6,9.3,9.0,10.0,5,5.0,145300000
Bodija,7.442669,3.906908,574,5,5,6,1,Detached House,Unfurnished,Renovated,4,9.0,1.61,10.0,10.0,7.6,9.0,5,5.0,162700000
Challenge,7.339277,3.886522,156,2,1,2,2,Terraced House,Unfurnished,Old,1,9.3,1.55,7.4,6.2,7.1,7.7,3,3.8,9100000
Alalubosa,7.380664,3.872694,238,3,2,2,2,Terraced House,Semi-Furnished,Old,2,3.6,0.9,7.6,8.4,6.5,9.2,4,4.3,47200000
Samonda,7.439464,3.913663,72,1,1,1,1,Mini Flat,Unfurnished,New,2,11.0,1.19,6.3,5.5,5.7,7.0,3,3.2,6800000
Agodi GRA,7.413013,3.901684,335,4,3,4,1,Detached House,Unfurnished,New,2,7.8,1.57,8.6,8.5,5.9,7.5,4,4.7,133700000
Bodija,7.440604,3.906012,416,3,4,4,2,Duplex,Semi-Furnished,New,3,11.1,2.23,9.5,7.7,9.0,9.9,5,5.0,120000000
Akobo,7.39221,3.900274,261,3,3,3,1,Bungalow,Unfurnished,Renovated,1,10.6,2.48,5.4,8.7,4.5,7.2,3,3.5,18100000
Iyaganku GRA,7.384341,3.876868,574,4,5,5,2,Detached House,Unfurnished,New,2,3.0,0.7,9.1,10.0,7.6,8.1,4,4.6,213600000
Oluyole Estate,7.359799,3.877343,310,3,3,4,2,Duplex,Unfurnished,Renovated,1,9.9,1.84,5.6,8.4,6.6,8.2,4,4.2,30600000
Alalubosa,7.377761,3.856005,216,3,3,4,2,Terraced House,Semi-Furnished,Renovated,2,2.2,1.27,7.9,8.3,9.0,6.1,4,4.3,54300000
Alalubosa,7.375491,3.867587,344,4,3,4,1,Bungalow,Semi-Furnished,Renovated,2,3.8,2.37,8.9,7.9,7.0,8.3,4,4.3,62700000
Oluyole Estate,7.365535,3.846556,404,4,4,6,2,Duplex,Furnished,Old,1,7.7,1.75,7.6,6.0,8.7,8.3,4,4.2,33700000
Apete,7.435477,3.886822,271,3,3,3,1,Bungalow,Semi-Furnished,New,1,14.9,2.92,4.7,4.1,3.0,4.8,2,2.8,14700000
Agodi GRA,7.415569,3.895827,461,5,5,6,2,Detached House,Unfurnished,New,2,4.7,2.88,10.0,9.1,6.7,10.0,4,4.7,220200000
Samonda,7.419446,3.893153,356,4,3,4,1,Bungalow,Semi-Furnished,Renovated,1,12.0,0.14,4.7,8.0,5.0,6.1,3,3.2,27800000
Samonda,7.431809,3.913077,176,3,3,4,1,Flat,Unfurnished,Renovated,1,9.4,2.49,7.3,4.4,5.6,5.3,3,3.2,12900000
Challenge,7.340165,3.856646,294,2,3,3,1,Bungalow,Unfurnished,Renovated,1,9.2,2.57,7.0,5.3,9.0,6.2,3,3.8,8200000
Samonda,7.430524,3.895415,110,1,1,1,1,Flat,Unfurnished,Old,1,10.8,0.45,4.0,6.9,4.5,6.0,3,3.2,7600000
Bodija,7.432216,3.915726,190,2,1,1,1,Bungalow,Semi-Furnished,Renovated,4,10.6,0.59,10.0,9.8,7.7,9.5,5,5.0,66700000
Alalubosa,7.378018,3.872587,472,5,4,5,2,Duplex,Furnished,Old,2,4.0,2.46,7.4,6.5,4.3,9.0,4,4.3,76800000
Iyaganku GRA,7.396578,3.856869,455,4,4,5,2,Duplex,Semi-Furnished,New,2,2.0,2.19,10.0,10.0,6.9,8.3,4,4.6,279500000
Apete,7.457285,3.880883,201,2,1,1,2,Terraced House,Semi-Furnished,Renovated,1,12.7,0.62,4.0,6.1,7.4,4.0,2,2.8,12800000
Iyaganku GRA,7.413025,3.864842,260,3,4,5,1,Bungalow,Semi-Furnished,New,3,6.5,0.41,10.0,8.3,7.7,8.8,4,4.6,130500000
Iyaganku GRA,7.384381,3.856936,434,5,4,5,2,Detached House,Semi-Furnished,New,3,3.1,0.81,10.0,8.7,9.0,8.1,4,4.6,202000000
Samonda,7.426358,3.91029,157,2,3,4,1,Terraced House,Unfurnished,Old,1,7.6,1.94,6.0,6.7,3.7,4.7,3,3.2,7600000
Samonda,7.436971,3.923289,137,1,2,4,1,Flat,Unfurnished,Old,1,9.9,2.54,6.4,5.2,9.0,5.4,3,3.2,7900000
Jericho,7.399233,3.892692,472,6,5,6,3,Detached House,Furnished,Renovated,2,6.9,2.95,4.3,9.3,6.8,9.2,4,4.8,127800000
Iyaganku GRA,7.393394,3.874949,393,4,5,6,2,Duplex,Furnished,New,3,5.7,2.04,9.5,8.4,6.8,7.9,4,4.6,266700000
Jericho,7.406306,3.884091,296,4,4,4,1,Bungalow,Unfurnished,New,3,9.4,2.07,9.4,7.0,7.9,9.3,4,4.8,92200000
Jericho,7.411925,3.883951,485,5,4,4,2,Duplex,Semi-Furnished,New,3,5.0,0.89,9.5,9.9,9.0,7.0,4,4.8,197500000
Iyaganku GRA,7.381943,3.858937,498,4,5,5,1,Detached House,Furnished,Renovated,3,6.1,0.14,9.5,7.6,9.0,8.2,4,4.6,210400000
Agodi GRA,7.4094,3.892512,399,5,4,5,1,Bungalow,Unfurnished,Renovated,3,3.9,0.7,9.5,9.6,8.0,8.6,4,4.7,194100000
Samonda,7.420717,3.893955,180,3,4,4,2,Terraced House,Unfurnished,Renovated,1,9.6,1.68,5.3,4.9,6.2,6.4,3,3.2,16200000
Bodija,7.442069,3.920499,250,3,4,4,2,Duplex,Semi-Furnished,New,2,6.9,0.63,10.0,10.0,9.0,9.7,5,5.0,99900000
Samonda,7.423597,3.914198,309,3,3,3,1,Bungalow,Unfurnished,Renovated,1,6.0,1.46,7.0,4.0,7.2,5.5,3,3.2,21600000
Agodi GRA,7.412396,3.903606,269,3,4,6,1,Bungalow,Semi-Furnished,New,3,7.9,0.47,9.8,8.7,6.9,7.7,4,4.7,145000000
Jericho,7.398417,3.882059,572,5,4,6,2,Detached House,Unfurnished,New,2,4.5,2.06,10.0,8.7,9.0,8.2,4,4.8,175000000
Alalubosa,7.36815,3.869907,387,4,5,5,2,Duplex,Unfurnished,Renovated,2,4.4,2.56,7.8,7.9,9.0,8.6,4,4.3,60500000
Iyaganku GRA,7.400673,3.86694,197,2,1,1,1,Bungalow,Semi-Furnished,Renovated,3,2.2,1.22,8.5,9.2,9.0,10.0,4,4.6,78800000
Bodija,7.43919,3.919366,359,4,3,4,2,Duplex,Semi-Furnished,Renovated,2,5.0,1.16,7.2,10.0,8.0,9.7,5,5.0,112800000
Agodi GRA,7.411349,3.899803,577,5,5,5,1,Detached House,Unfurnished,New,3,6.8,2.66,8.1,8.0,9.0,9.5,4,4.7,280400000
Alalubosa,7.39733,3.871807,455,4,4,5,2,Duplex,Unfurnished,Old,3,4.8,0.92,7.0,8.1,5.4,7.8,4,4.3,72600000
Samonda,7.417708,3.915225,151,2,2,3,2,Terraced House,Unfurnished,Old,0,9.2,0.2,8.6,6.4,3.7,5.7,3,3.2,11400000
Jericho,7.40911,3.883808,481,4,3,4,2,Duplex,Unfurnished,Renovated,3,4.4,0.47,10.0,8.5,5.9,10.0,4,4.8,136700000
Challenge,7.342947,3.887532,166,2,2,3,1,Terraced House,Unfurnished,Old,2,11.8,1.3,7.7,7.6,6.5,8.1,3,3.8,5600000
Bodija,7.426432,3.916129,311,3,3,3,2,Duplex,Semi-Furnished,Old,3,12.6,2.5,9.0,9.3,9.0,10.0,5,5.0,103800000
Agodi GRA,7.400362,3.896874,432,4,4,5,2,Detached House,Furnished,Renovated,2,5.7,0.82,8.8,9.1,7.6,9.0,4,4.7,205100000
Challenge,7.343869,3.891645,247,2,3,4,1,Bungalow,Furnished,New,1,16.3,0.91,6.1,7.5,4.1,7.9,3,3.8,11400000
Jericho,7.405109,3.874939,273,2,3,3,1,Bungalow,Unfurnished,New,4,6.6,2.47,6.9,7.9,8.8,10.0,4,4.8,86900000
Jericho,7.410181,3.892501,424,4,5,6,2,Detached House,Semi-Furnished,Renovated,3,5.2,2.31,9.6,6.6,6.4,9.0,4,4.8,186500000
Challenge,7.34279,3.878881,247,4,4,4,2,Terraced House,Unfurnished,Renovated,1,13.4,0.32,9.3,8.0,4.3,5.8,3,3.8,13400000
Challenge,7.340727,3.87942,337,4,5,6,1,Bungalow,Unfurnished,Old,0,13.8,2.43,7.0,6.5,6.1,5.2,3,3.8,12200000
Oluyole Estate,7.363219,3.86148,215,2,1,1,1,Terraced House,Semi-Furnished,Old,2,9.4,2.71,6.3,7.5,7.9,9.5,4,4.2,22700000
Iyaganku GRA,7.375996,3.870549,512,5,4,4,3,Detached House,Semi-Furnished,New,3,4.0,1.89,7.1,8.7,6.9,7.9,4,4.6,304100000
Oluyole Estate,7.35799,3.851459,455,4,3,3,2,Duplex,Furnished,New,2,4.2,1.54,6.5,9.7,9.0,8.5,4,4.2,65500000
Oluyole Estate,7.353862,3.847573,561,4,4,4,2,Detached House,Unfurnished,Renovated,3,9.8,0.14,7.7,8.5,6.7,9.6,4,4.2,41200000
Oluyole Estate,7.355505,3.860037,399,4,3,4,2,Detached House,Furnished,Renovated,3,6.7,2.97,8.6,7.7,5.6,9.3,4,4.2,56600000
Jericho,7.40324,3.891278,484,4,4,4,1,Detached House,Semi-Furnished,New,4,6.1,0.71,7.4,9.2,9.0,7.4,4,4.8,163400000
Akobo,7.396946,3.909517,190,3,3,4,1,Flat,Unfurnished,New,1,13.1,1.96,8.6,6.8,4.2,6.4,3,3.5,15900000
Agodi GRA,7.411849,3.891915,473,5,5,7,3,Detached House,Furnished,Renovated,2,6.8,2.0,8.7,8.3,7.4,9.4,4,4.7,175400000
Iyaganku GRA,7.388694,3.859821,417,5,4,5,2,Detached House,Furnished,New,2,6.6,1.3,10.0,8.7,6.6,10.0,4,4.6,300300000
Agodi GRA,7.403707,3.905547,420,3,4,5,2,Duplex,Unfurnished,New,3,4.6,1.34,10.0,10.0,6.6,10.0,4,4.7,202200000
Oluyole Estate,7.36263,3.863457,128,2,3,4,2,Terraced House,Furnished,Old,2,4.9,1.62,7.7,6.3,7.2,7.0,4,4.2,17700000
Alalubosa,7.372937,3.862524,326,4,4,4,3,Detached House,Semi-Furnished,Renovated,2,6.3,1.86,7.4,8.3,9.0,7.3,4,4.3,78000000
Agodi GRA,7.414361,3.908632,516,5,4,5,2,Detached House,Unfurnished,New,3,4.7,0.37,8.2,10.0,7.0,9.2,4,4.7,252600000
Iyaganku GRA,7.382487,3.87426,417,4,5,5,2,Detached House,Unfurnished,New,4,4.8,0.24,10.0,9.3,8.9,8.7,4,4.6,172700000
